id_projeto_pesquisa,codigo_projeto,titulo,palavras_chave,id_projeto,ano,data_inicio,data_fim,situacao,tipo_projeto,categoria_projeto,id_unidade,unidade,id_coordenador,coordenador,edital,id_grupo_pesquisa,grupo_pesquisa,linha_pesquisa,area_conhecimento_cnpq,objetivos_desenvolvimento_sustentavel
39983,PVB654-2005,O estudo das cadeias de Markov e suas aplicações,cadeias de markov;ergodicidade;algoritmos estocásticos,39983,2005,2006/01/01 00:00:00.000,2006/12/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,1.0,ISOLADO,cadeias de markov homogêneas;cadeias de markov não-homogêneas;algoritmos estocásticos;simulações estocásticas,probabilidade,
40144,PVB686-2005,Análise Integrada de Dados de Expressão Gênica,bioinformática;inteligência artificial;aprendizado de máquina,40144,2005,2004/12/01 00:00:00.000,2006/12/01 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",bioinformática;inteligência artificial;aprendizado de máquina;,administração de empresas,
39915,PVB708-2005,Prova automática de teoremas em lógica da primeira ordem e suas aplicações,verificação formal;lógica computacional;prova automática,39915,2005,2005/05/01 00:00:00.000,2007/11/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,métodos formais;verificação formal;prova automática de teoremas;lógica computacional,metodologia e técnicas da computação,
40446,PVB755-2005,ELABORAÇÃO DO BANCO DE DADOS RELACIONAIS PARA A GESTÃO DE INDICADORES SOCIAIS DO ESTADO DO RIO GRANDE DO NORTE,banco de dados;sig;geoprocessamento,40446,2005,2005/09/01 00:00:00.000,2006/09/01 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,84.0,TRANSFERÊNCIA DE MASSA E FLUIDO NA CROSTA TERRESTRE,geoprocessamento;sistemas de informação;banco de dados;,sistemas de computação,
38323,PVB767-2005,Engineering of Smart Card Applications,engenharia de software;cartões inteligentes;métodos formais,38323,2005,2005/04/01 00:00:00.000,2007/04/01 00:00:00.000,RENOVADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,engenharia de software;métodos formais;;,metodologia e técnicas da computação,
40211,PVB776-2005,Geração de Animações Não-Realistas para Estilização de Vídeos,renderização não-realista;segmentação de vídeos;algoritmos de crescimento de regiões,40211,2005,2005/01/01 00:00:00.000,2006/12/01 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",processamento de imagens;renderização não-realista;processamento de vídeos;,sistemas de computação,
40219,PVB790-2005,Fundamentos e Aplicações da Lógica Fuzzy Intervalar,lógica fuzzy;matemática intervalar;t-normas,40219,2005,2005/05/01 00:00:00.000,2007/04/01 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",lógica fuzzy;matemática intervalar;;,sistemas de computação,
40115,PVB808-2005,AmbOdonto: um ambiente multi-agentes para o diagnóstico clínico consensual,sistemas multi-agentes;diagnóstico clínico;protocolos de negociação e cooperação,40115,2005,2005/06/01 00:00:00.000,2007/06/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",sistemas multi-agentes;protocolos de negociação;diagnóstico clínico;,sistemas de computação,
40266,PVB859-2005,APOIO FORMAL AO TESTE DE SOFTWARE (COMPILADORES E SIMILARES) - FORTES,geração de casos de teste;especificações formais;compiladores,40266,2005,2005/08/01 00:00:00.000,2007/07/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,engenharia de software;métodos formais ;linguagens de programação;,teoria da computação,
40173,PVB909-2005,Estudo da Plataforma OPL Studio aplicada a Problemas de otimização Combinatória NP-árduos,otimização;modelagem matemática;problemas np-árduos,40173,2005,2005/08/01 00:00:00.000,2006/08/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,111.0,OTIMIZAÇÃO COMBINATÓRIA E DESENVOLVIMENTO DE SISTEMAS COMPUTACIONAIS DE APOIO À DECISÃO,otimização combinatória;programação matemática;estrutura de dados e algoritmos em grafos;projeto e análise de algoritmos,pesquisa operacional,
40442,PVB940-2005,Otimização por Enxame de Partículas,otimização;enxame de partículas;np-árduos,40442,2005,2005/08/01 00:00:00.000,2007/08/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,111.0,OTIMIZAÇÃO COMBINATÓRIA E DESENVOLVIMENTO DE SISTEMAS COMPUTACIONAIS DE APOIO À DECISÃO,otimização;heurísticas;estrutura de dados e algoritmos em grafos;projeto e análise de algoritmos,pesquisa operacional,
40328,PVB949-2005,Mapeamento Semântico de Especificação IMML em Componentes XICL,desenvolvimento de interfaces de usuário;interação humano-computador;linguagens de interfaces de usuário,40328,2005,2005/08/01 00:00:00.000,2006/08/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,interação humano-computador;design de interfaces de usuário;engenharia de software;,sistemas de computação,
40352,PVB984-2005,Comitês de Agrupamentos para Dados de Expressão Gênica,bioinformática;inteligência artificial;aprendizado de máquina,40352,2005,2005/06/01 00:00:00.000,2007/06/01 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",bioinformática;inteligência artificial;aprendizado de máquina;,matemática da computação,
40310,PVD921-2005,O PROCESSO DE CRIAÇÃO DE UM WEB SITE SOBRE O GRUPO DE PESQUISA: NUTRIÇÃO E QUALIDADE DE VIDA,web site;informática e saúde;nutrição e qualidade de vida,40310,2005,2005/05/01 00:00:00.000,2006/05/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,441,centro de ciências da saúde,,,,107.0,"ALIMENTOS, NUTRIÇÃO E SAÚDE",informática em saúde;nutrição e qualidade de vida;nutrição humana;ciência dos alimentos,ciência de alimentos,
39394,PVE894-2005,ANÁLISE DO POTENCIAL PEDAGÓGICO DAS PLATAFORMAS DE GESTÃO DE CURSOS A DISTÂNCIA,educação a distância;tecnologias educacionais;aprendizagem através da internet,39394,2005,2005/05/01 00:00:00.000,2005/11/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,443,centro de ciências sociais aplicadas,,,,129.0,Grupo de Estudos e Pesquisas em Meios de Comunicação e Educação,educação a distância;informática na educação;;,administração educacional,
40103,PVG2-2005,Monitoramento Ambiental na Região dos Recifes de Corais do Litoral Norte do RN.,recifes de corais;processamento de imagens;analise de imagens,40103,2005,2005/06/01 00:00:00.000,2007/06/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,20.0,SISTEMAS INTELIGENTES,visão computacional;processamento de imagens;robótica;meio ambiente,metodologia e técnicas da computação,
40201,PVG587-2005,Estudos Ambientais no Sistema Estuarino Lagunar Guaraíras - Papeba - Nísia Floresta,guaraíras - papeba - nísia floresta;meio ambiente;caracterização geo-ambiental,40201,2005,2005/08/01 00:00:00.000,2009/08/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,,,impactos ambientais;geotecnia;estudos do solo;computação aplicada,saneamento ambiental,
40275,PVG594-2005,GERENCIA DA INFORMAÇÃO E PROCESSO DE AUTOMAÇÃO INDUSTRIAL NO SETOR DE PETROLEO,pims - plant information manegement system;sistema de informação.;mes - manufacturing execution system,40275,2005,2005/03/01 00:00:00.000,2007/03/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,18.0,CONTROLE E ACIONAMENTO DE SISTEMAS,automação industrial;sistemas supervisórios;sistemas scada;banco de dados,sistemas de computação,
40208,PVG781-2005,Descoberta de conhecimento em ba-ses de dados multidimensionais por redes neurais auto-organizáveis,análise automática de dados;redes neurais auto-organizáveis;sistemas inteligentes,40208,2005,2005/08/01 00:00:00.000,2006/07/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,20.0,SISTEMAS INTELIGENTES,redes neurais artificiais;mineração de dados;sistemas inteligentes;análise de aglomerados,sistemas de computação,
